SampleID,CollectionDate,Location,Latitude,Longitude,SnowColor,CellDensity
2024-8-12-CK-algae1,8/12/2024,Camp Kiser,48.81630987,-121.7593849,red,4511
2024-8-12-CK-algae2,8/12/2024,Camp Kiser,48.8165618,-121.7593942,red,6144
2024-8-12-CK-algae3,8/12/2024,Camp Kiser,48.81660346,-121.7594374,red,20671
2024-8-12-CK-algae4,8/12/2024,Camp Kiser,48.81659306,-121.7595671,red,13298
2024-8-12-CK-algae5,8/12/2024,Camp Kiser,48.81668639,-121.7595132,red,8181
2024-8-12-CK-algae6,8/12/2024,Camp Kiser,48.81662289,-121.7593486,red,5909
2024-8-12-CK-algae7,8/12/2024,Camp Kiser,48.81666816,-121.7593851,red,19645
2024-8-12-CK-algae8,8/12/2024,Camp Kiser,48.81587518,-121.7608124,red,6127
2024-8-12-CK-algae9,8/12/2024,Camp Kiser,48.81559079,-121.7606725,red,8568
2024-8-12-CK-algae10,8/12/2024,Camp Kiser,48.81500655,-121.7611347,red,12962
2024-8-12-CK-algae11,8/12/2024,Camp Kiser,48.81491741,-121.760998,red,10863
2024-8-12-CK-algae12,8/12/2024,Camp Kiser,48.81486314,-121.7609674,red,6363
2024-8-12-CK-algae13,8/12/2024,Camp Kiser,48.81485787,-121.7610606,red,21277
2024-8-12-CK-algae14,8/12/2024,Camp Kiser,48.81485466,-121.7610492,red,11800
2024-8-12-CK-algae15,8/12/2024,Camp Kiser,48.81475611,-121.7612802,red,9073
2024-8-12-CK-algae16,8/12/2024,Camp Kiser,48.81412405,-121.7609705,red,8501
2024-8-12-CK-algae17,8/12/2024,Camp Kiser,48.8141069,-121.7610466,red,31882
2024-8-12-CK-algae18,8/12/2024,Camp Kiser,48.81411291,-121.7609751,red,23533
2024-8-12-CK-algae19,8/12/2024,Camp Kiser,48.81400872,-121.7609889,red,17524
2024-8-12-CK-algae20,8/12/2024,Camp Kiser,48.81398447,-121.7610104,red,4478
2024-8-13-CK-algae21,8/13/2024,Camp Kiser,48.81497275,-121.7611025,red,28583
2024-8-13-CK-algae22,8/13/2024,Camp Kiser,48.81494045,-121.7610649,red,44238
2024-8-13-CK-algae23,8/13/2024,Camp Kiser,48.81490907,-121.7611108,red,29761
2024-8-13-CK-algae24,8/13/2024,Camp Kiser,48.8148562,-121.7610503,red,29021
2024-8-13-CK-algae25,8/13/2024,Camp Kiser,48.81487453,-121.76099,red,4814
2024-8-13-CK-algae26,8/13/2024,Camp Kiser,48.81656911,-121.759007,algae-free,1162
2024-8-13-CK-algae27,8/13/2024,Camp Kiser,48.81638488,-121.7602009,algae-free,2188
2024-8-13-CK-algae28,8/13/2024,Camp Kiser,48.8162471,-121.7607746,algae-free,926
2024-8-13-CK-algae29,8/13/2024,Camp Kiser,48.81612833,-121.7609847,algae-free,0
2024-8-13-CK-algae30,8/13/2024,Camp Kiser,48.8158955,-121.7606754,algae-free,84
2024-8-13-CK-algae31,8/13/2024,Camp Kiser,48.81569995,-121.7605075,algae-free,219
