SampleID,Location,Color,Astaxanthin,Lutein,ChlA,ChlB,BetaC,Pheophorbide,Pheophytin
2025-02-16-PC-algae1-pig-a,Antarctic Peninsula,,0,0,0,2.163180308,0,0.886216,7.576941846
2025-02-16-PC-algae1-pig-b,Antarctic Peninsula,,0,0,0,1.201601333,0,0.983096,7.772332667
2025-02-16-PC-algae1-pig-c,Antarctic Peninsula,,0,0,0,0.447304,0,1.06457725,4.2394375
2025-02-16-PC-algae2-pig-a,Antarctic Peninsula,,0,0,0,0,0,1.06851725,8.246573
2025-02-16-PC-algae2-pig-b,Antarctic Peninsula,,0,0,0,0,0,1.0197196,8.84295
2025-02-16-PC-algae2-pig-c,Antarctic Peninsula,,0,0,0,0,0,1.196779636,13.59582364
2025-02-16-PC-algae3-pig-a,Antarctic Peninsula,,0,0,0,1.098727619,0,1.241385333,12.80085486
2025-02-16-PC-algae3-pig-b,Antarctic Peninsula,,0,0,0,0.198366087,0,1.290373217,18.16090539
2025-02-16-PC-algae3-pig-c,Antarctic Peninsula,,0,0,0,0.145428,0,0.854094476,10.88313619
2025-02-19-SI-algae1-pig-a,Antarctic Peninsula,,61.33881333,2223.505359,2205.921986,3837.467345,1205.723581,193.2066373,1334.157124
2025-02-19-SI-algae1-pig-b,Antarctic Peninsula,,97.716236,1814.64087,2269.92219,4733.378931,935.3845531,274.60564,1387.661342
2025-02-19-SI-algae1-pig-c,Antarctic Peninsula,,71.9279175,1398.601855,1709.406966,3537.328476,686.4799835,188.723867,1124.716077
2025-02-19-SI-algae2-pig-a,Antarctic Peninsula,,20.4887785,242.0797042,169.2104267,338.360591,40.20720833,31.99481583,115.3806117
2025-02-19-SI-algae2-pig-b,Antarctic Peninsula,,11.76684359,105.7471752,93.80963324,183.0337033,15.7065069,18.8095371,68.99944221
2025-02-19-SI-algae2-pig-c,Antarctic Peninsula,,5.33549625,108.670674,90.7414605,155.6771045,0,18.34170625,55.4634195
2025-02-19-SI-algae3-pig-a,Antarctic Peninsula,,0,887.9211487,1225.474144,2848.750741,416.4140055,39.25983564,895.1312495
2025-02-19-SI-algae3-pig-b,Antarctic Peninsula,,0,763.2931189,946.4999286,1660.417693,244.4283131,21.687152,684.8563863
2025-02-19-SI-algae3-pig-c,Antarctic Peninsula,,0,1314.243519,1422.391014,3307.501888,501.3357473,46.40311106,1063.637057
2025-02-19-SI-algae4-pig-a,Antarctic Peninsula,,0,74.015754,75.01019533,122.163706,186.0948927,11.189998,51.75367867
2025-02-19-SI-algae4-pig-b,Antarctic Peninsula,,0.476241548,147.4912537,61.4397791,135.4640681,211.3008341,10.07008852,54.0763151
2025-02-19-SI-algae4-pig-c,Antarctic Peninsula,,0,76.0208792,40.7933144,114.0932164,117.8219768,8.387918,40.1980604
2025-02-19-SI-algae5-pig-a,Antarctic Peninsula,,0,0,30.027628,56.18811354,39.84019692,2.628213538,23.42460308
2025-02-19-SI-algae5-pig-b,Antarctic Peninsula,,0,0,11.82574246,18.67361785,0.056120308,4.349309846,44.28178492
2025-02-19-SI-algae5-pig-c,Antarctic Peninsula,,0,0,17.85162167,19.15535933,1.742428,1.568433,11.82832033
2025-02-19-SI-algae6-pig-a,Antarctic Peninsula,,0,387.4794713,804.2298563,1296.019728,506.342232,37.50573023,437.4471969
